icb_code,org_code,dimension_name,source,planning_ref,measure_type,metric_value,ref_key
QU9,RHW,Apr-24,current_actuals,E.B.35,Denominator,195.5,E.B.35Denominator
QU9,RHW,Apr-24,current_actuals,E.B.35,Numerator,134.5,E.B.35Numerator
QU9,RHW,Apr-24,current_actuals,E.B.35,Percentage,68.79795396419436,E.B.35Percentage
QRL,RHU,Apr-24,current_actuals,E.B.35,Denominator,270.5,E.B.35Denominator
QRL,RHU,Apr-24,current_actuals,E.B.35,Numerator,182,E.B.35Numerator
QRL,RHU,Apr-24,current_actuals,E.B.35,Percentage,67.28280961182995,E.B.35Percentage
QNX,RXC,Apr-24,current_actuals,E.B.35,Denominator,241,E.B.35Denominator
QNX,RXC,Apr-24,current_actuals,E.B.35,Numerator,151,E.B.35Numerator
QNX,RXC,Apr-24,current_actuals,E.B.35,Percentage,62.655601659751035,E.B.35Percentage
QNQ,RDU,Apr-24,current_actuals,E.B.35,Denominator,304,E.B.35Denominator
QNQ,RDU,Apr-24,current_actuals,E.B.35,Numerator,223,E.B.35Numerator
QNQ,RDU,Apr-24,current_actuals,E.B.35,Percentage,73.35526315789474,E.B.35Percentage
QXU,RTP,Apr-24,current_actuals,E.B.35,Denominator,186.5,E.B.35Denominator
QXU,RTP,Apr-24,current_actuals,E.B.35,Numerator,137,E.B.35Numerator
QXU,RTP,Apr-24,current_actuals,E.B.35,Percentage,73.45844504021449,E.B.35Percentage
QRL,RN5,Apr-24,current_actuals,E.B.35,Denominator,237.5,E.B.35Denominator
QRL,RN5,Apr-24,current_actuals,E.B.35,Numerator,168.5,E.B.35Numerator
QRL,RN5,Apr-24,current_actuals,E.B.35,Percentage,70.94736842105263,E.B.35Percentage
QXU,RTK,Apr-24,current_actuals,E.B.35,Denominator,168,E.B.35Denominator
QXU,RTK,Apr-24,current_actuals,E.B.35,Numerator,138,E.B.35Numerator
QXU,RTK,Apr-24,current_actuals,E.B.35,Percentage,82.14285714285714,E.B.35Percentage
QNQ,QNQ,Apr-24,current_actuals,E.B.35,Denominator,309,E.B.35Denominator
