icb_code,org_code,dimension_name,planning_ref,measure_type,ref_key,source,total_var,perc_var
QKS,RPA,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,43.5,0.6304347826086957
QKS,RPA,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,-3.5284789216333934,-3.5284789216333934
QKS,RPA,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,-3.5284789216333934,-3.5284789216333934
QKS,RPA,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,-3.5284789216333934,-3.5284789216333934
QKS,RWF,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,36,0.2517482517482518
QKS,RWF,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,36,0.2517482517482518
QKS,RWF,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,36,0.2517482517482518
QKS,RWF,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,31.5,0.2581967213114754
QKS,RWF,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,31.5,0.2581967213114754
QKS,RWF,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,31.5,0.2581967213114754
QKS,RWF,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,0.4395046294487628,0.4395046294487628
QKS,RWF,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,0.4395046294487628,0.4395046294487628
QKS,RWF,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,0.4395046294487628,0.4395046294487628
QKS,RVV,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,-29.5,-0.07375
QKS,RVV,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,-29.5,-0.07375
QKS,RVV,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,-29.5,-0.07375
QKS,RVV,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,-24.5,-0.09107806691449814
QKS,RVV,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,-24.5,-0.09107806691449814
QKS,RVV,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,-24.5,-0.09107806691449814
QKS,RVV,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,-1.2580971659918987,-1.2580971659918987
QKS,RVV,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,-1.2580971659918987,-1.2580971659918987
QKS,RVV,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,-1.2580971659918987,-1.2580971659918987
QNX,QNX,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,120,0.13969732246798602
QNX,QNX,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,135,0.15995260663507108
QNX,QNX,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,120,0.13969732246798602
QNX,QNX,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,59,0.10611510791366907
QNX,QNX,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,66,0.12021857923497267
QNX,QNX,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,59,0.10611510791366907
QNX,QNX,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,-1.907222808192067,-1.907222808192067
QNX,QNX,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,-2.2281900962874417,-2.2281900962874417
QNX,QNX,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,-1.907222808192067,-1.907222808192067
QU9,RXQ,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,-2.5,-0.012953367875647668
QU9,RXQ,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,144.5,3.141304347826087
QU9,RXQ,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,144.5,3.141304347826087
QU9,RXQ,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,-1,-0.00819672131147541
QU9,RXQ,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,90,2.903225806451613
QU9,RXQ,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,90,2.903225806451613
QU9,RXQ,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,0.3046251342934454,0.3046251342934454
